"subjectID","wave","task","run","nVols","percent"
"TAG032",1,"rest",2,0,0
"TAG032",1,"SVC",1,0,0
"TAG032",1,"SVC",2,0,0
"TAG033",1,"DSD",1,0,0
"TAG033",1,"DSD",2,0,0
"TAG033",1,"rest",1,0,0
"TAG033",1,"rest",2,0,0
"TAG033",1,"SVC",1,0,0
"TAG033",1,"SVC",2,1,0.6
"TAG034",1,"DSD",1,0,0
"TAG034",1,"DSD",2,1,0.4
"TAG034",1,"rest",1,0,0
"TAG034",1,"rest",2,0,0
"TAG034",1,"SVC",1,0,0
"TAG034",1,"SVC",2,0,0
"TAG035",1,"DSD",1,6,2.7
"TAG035",1,"DSD",2,9,4
"TAG035",1,"rest",1,0,0
"TAG035",1,"rest",2,0,0
"TAG035",1,"SVC",1,0,0
"TAG035",1,"SVC",2,0,0
"TAG036",1,"DSD",1,0,0
"TAG036",1,"DSD",2,1,0.4
"TAG036",1,"rest",1,0,0
"TAG036",1,"rest",2,2,0.7
"TAG036",1,"SVC",1,1,0.6
"TAG036",1,"SVC",2,5,2.8
"TAG037",1,"DSD",1,0,0
"TAG037",1,"DSD",2,2,0.9
"TAG037",1,"rest",1,0,0
"TAG037",1,"rest",2,0,0
"TAG037",1,"SVC",1,0,0
"TAG037",1,"SVC",2,0,0
"TAG038",1,"DSD",1,18,8
"TAG038",1,"DSD",2,13,5.8
"TAG038",1,"rest",1,1,0.4
"TAG038",1,"rest",2,1,0.4
"TAG038",1,"SVC",1,10,5.6
"TAG038",1,"SVC",2,18,10
"TAG040",1,"DSD",1,42,18.7
"TAG040",1,"DSD",2,34,15.1
"TAG040",1,"rest",1,3,1.1
"TAG040",1,"rest",2,0,0
"TAG040",1,"SVC",1,9,5
"TAG040",1,"SVC",2,3,1.7
"TAG041",1,"DSD",1,0,0
"TAG041",1,"DSD",2,1,0.4
"TAG041",1,"rest",1,0,0
"TAG041",1,"rest",2,0,0
"TAG041",1,"SVC",1,3,1.7
"TAG041",1,"SVC",2,2,1.1
"TAG042",1,"DSD",1,0,0
"TAG042",1,"DSD",2,3,1.3
"TAG042",1,"rest",1,0,0
"TAG042",1,"rest",2,0,0
"TAG042",1,"SVC",1,0,0
"TAG042",1,"SVC",2,0,0
"TAG044",1,"DSD",1,41,18.5
