"subjectID","wave","task","nVols","percent"
"TAG073",2,"SVC",3,0.8
"TAG074",2,"DSD",12,2.7
"TAG074",2,"rest",0,0
"TAG074",2,"SVC",2,0.6
"TAG075",2,"DSD",0,0
"TAG075",2,"rest",0,0
"TAG075",2,"SVC",0,0
"TAG076",2,"DSD",8,1.8
"TAG076",2,"rest",5,0.6
"TAG076",2,"SVC",0,0
"TAG077",2,"DSD",33,14.7
"TAG077",2,"rest",4,0.5
"TAG077",2,"SVC",3,0.8
"TAG078",2,"DSD",103,45.8
"TAG078",2,"rest",0,0
"TAG078",2,"SVC",5,1.4
"TAG080",2,"DSD",0,0
"TAG080",2,"rest",1,0.2
"TAG080",2,"SVC",7,1.9
"TAG081",2,"DSD",11,2.4
"TAG081",2,"rest",1,0.1
"TAG081",2,"SVC",4,1.1
"TAG084",2,"DSD",6,1.3
"TAG084",2,"rest",0,0
"TAG084",2,"SVC",2,0.6
"TAG085",2,"DSD",0,0
"TAG085",2,"rest",0,0
"TAG085",2,"SVC",0,0
"TAG086",2,"DSD",35,7.8
"TAG086",2,"rest",21,2.7
"TAG086",2,"SVC",32,8.9
"TAG087",2,"rest",0,0
"TAG087",2,"SVC",0,0
"TAG088",2,"DSD",11,2.4
"TAG088",2,"rest",3,0.4
"TAG088",2,"SVC",0,0
"TAG089",2,"rest",65,8.2
"TAG089",2,"SVC",85,23.6
"TAG090",2,"DSD",24,5.3
"TAG090",2,"rest",5,0.6
"TAG090",2,"SVC",8,2.2
"TAG091",2,"DSD",0,0
"TAG091",2,"rest",0,0
"TAG091",2,"SVC",0,0
"TAG093",2,"DSD",36,8
"TAG093",2,"rest",12,1.5
"TAG093",2,"SVC",22,6.1
"TAG094",2,"DSD",0,0
"TAG094",2,"rest",0,0
"TAG094",2,"SVC",0,0
"TAG095",2,"DSD",5,1.1
"TAG095",2,"rest",0,0
"TAG095",2,"SVC",0,0
"TAG099",2,"DSD",37,8.2
"TAG099",2,"rest",0,0
"TAG099",2,"SVC",18,5
"TAG101",2,"DSD",5,1.1
"TAG101",2,"rest",0,0
"TAG101",2,"SVC",9,2.5
"TAG103",2,"DSD",0,0
"TAG103",2,"rest",0,0
"TAG103",2,"SVC",1,0.3
"TAG104",2,"DSD",1,0.2
"TAG104",2,"rest",0,0
"TAG104",2,"SVC",0,0
"TAG105",2,"DSD",53,11.8
"TAG105",2,"rest",11,1.4
"TAG105",2,"SVC",22,6.1
"TAG106",2,"rest",3,0.4
"TAG107",2,"DSD",30,6.7
"TAG107",2,"rest",6,0.8
"TAG107",2,"SVC",31,8.6
"TAG110",2,"DSD",11,2.4
"TAG110",2,"rest",0,0
"TAG110",2,"SVC",12,3.3
"TAG111",2,"DSD",0,0
"TAG111",2,"rest",1,0.1
"TAG111",2,"SVC",0,0
"TAG112",2,"DSD",2,0.4
"TAG112",2,"rest",0,0
"TAG112",2,"SVC",0,0
"TAG113",2,"DSD",239,53.1
"TAG113",2,"rest",65,16.5
"TAG113",2,"SVC",208,57.8
"TAG114",2,"DSD",24,5.3
"TAG114",2,"rest",0,0
"TAG114",2,"SVC",4,1.1
"TAG117",2,"DSD",49,10.9
"TAG117",2,"rest",7,0.9
"TAG117",2,"SVC",11,3.1
"TAG119",2,"DSD",10,2.2
"TAG119",2,"rest",0,0
"TAG119",2,"SVC",7,1.9
"TAG120",2,"DSD",4,0.9
"TAG120",2,"rest",0,0
"TAG120",2,"SVC",0,0
"TAG122",2,"DSD",12,2.7
"TAG122",2,"rest",11,1.4
"TAG122",2,"SVC",3,0.8
"TAG124",2,"DSD",20,4.4
"TAG124",2,"rest",0,0
"TAG124",2,"SVC",0,0
"TAG125",2,"DSD",28,6.2
"TAG125",2,"rest",2,0.3
"TAG125",2,"SVC",0,0
"TAG130",2,"DSD",21,4.7
"TAG130",2,"rest",0,0
"TAG130",2,"SVC",4,1.1
"TAG131",2,"DSD",17,3.8
"TAG131",2,"rest",20,2.5
"TAG131",2,"SVC",5,1.4
"TAG132",2,"DSD",0,0
"TAG132",2,"rest",0,0
"TAG132",2,"SVC",3,0.8
"TAG138",2,"DSD",4,0.9
"TAG138",2,"rest",0,0
"TAG138",2,"SVC",0,0
"TAG140",2,"DSD",0,0
"TAG140",2,"rest",0,0
"TAG140",2,"SVC",0,0
"TAG141",2,"DSD",13,2.9
"TAG141",2,"rest",1,0.1
"TAG141",2,"SVC",1,0.3
"TAG143",2,"DSD",88,19.6
"TAG143",2,"rest",0,0
"TAG143",2,"SVC",10,2.8
"TAG144",2,"DSD",34,7.6
"TAG144",2,"rest",0,0
"TAG144",2,"SVC",0,0
"TAG149",2,"DSD",0,0
"TAG149",2,"rest",0,0
"TAG149",2,"SVC",2,0.6
"TAG155",2,"DSD",0,0
"TAG155",2,"rest",0,0
"TAG155",2,"SVC",4,1.1
"TAG159",2,"DSD",9,2
"TAG159",2,"rest",0,0
"TAG159",2,"SVC",2,0.6
"TAG160",2,"DSD",15,3.3
"TAG160",2,"rest",6,0.8
"TAG160",2,"SVC",15,4.2
"TAG164",2,"DSD",8,1.8
"TAG164",2,"rest",4,0.5
"TAG164",2,"SVC",1,0.3
"TAG166",2,"DSD",0,0
"TAG166",2,"rest",0,0
"TAG166",2,"SVC",0,0
"TAG167",2,"DSD",7,1.6
"TAG167",2,"rest",0,0
"TAG167",2,"SVC",0,0
"TAG169",2,"DSD",7,1.6
"TAG169",2,"rest",0,0
"TAG169",2,"SVC",13,3.6
"TAG173",2,"DSD",5,1.1
"TAG173",2,"rest",0,0
"TAG173",2,"SVC",0,0
"TAG175",2,"DSD",200,44.4
"TAG175",2,"rest",85,10.8
"TAG175",2,"SVC",67,18.6
"TAG176",2,"DSD",39,8.7
"TAG176",2,"rest",11,1.4
"TAG176",2,"SVC",21,5.8
"TAG177",2,"DSD",69,15.3
"TAG177",2,"rest",13,1.6
"TAG177",2,"SVC",33,9.2
"TAG179",2,"DSD",259,57.6
"TAG179",2,"rest",32,4.1
"TAG179",2,"SVC",10,2.8
"TAG180",2,"DSD",2,0.4
"TAG180",2,"rest",0,0
"TAG180",2,"SVC",2,0.6
"TAG181",2,"DSD",1,0.2
"TAG181",2,"rest",0,0
"TAG181",2,"SVC",2,0.6
"TAG186",2,"DSD",7,1.6
"TAG186",2,"rest",0,0
"TAG186",2,"SVC",5,1.4
"TAG188",2,"DSD",103,22.9
"TAG188",2,"rest",17,2.2
"TAG188",2,"SVC",58,16.1
"TAG190",2,"DSD",2,13.3
"TAG190",2,"rest",23,2.9
"TAG190",2,"SVC",90,25
"TAG194",2,"DSD",7,1.6
"TAG194",2,"rest",1,0.1
"TAG194",2,"SVC",0,0
"TAG200",2,"DSD",7,1.6
"TAG200",2,"rest",0,0
"TAG200",2,"SVC",4,1.1
"TAG202",2,"DSD",34,7.6
"TAG202",2,"rest",0,0
"TAG202",2,"SVC",15,4.2
"TAG203",2,"DSD",8,1.8
"TAG203",2,"rest",2,0.3
"TAG203",2,"SVC",4,1.1
"TAG205",2,"DSD",9,2
"TAG205",2,"rest",1,0.1
"TAG205",2,"SVC",3,0.8
"TAG206",2,"DSD",23,5.1
"TAG206",2,"rest",0,0
"TAG206",2,"SVC",2,0.6
"TAG207",2,"DSD",0,0
"TAG207",2,"rest",2,0.3
"TAG207",2,"SVC",0,0
"TAG208",2,"DSD",4,0.9
"TAG208",2,"rest",3,0.4
"TAG208",2,"SVC",16,4.4
"TAG209",2,"DSD",18,4
"TAG209",2,"rest",0,0
"TAG209",2,"SVC",3,0.8
"TAG211",2,"SVC",7,4.5
"TAG215",2,"DSD",30,6.7
"TAG215",2,"rest",1,0.1
"TAG215",2,"SVC",2,0.6
"TAG218",2,"DSD",0,0
"TAG218",2,"rest",0,0
"TAG218",2,"SVC",0,0
"TAG220",2,"DSD",0,0
"TAG220",2,"rest",0,0
"TAG220",2,"SVC",0,0
"TAG221",2,"DSD",1,0.2
"TAG221",2,"rest",1,0.1
"TAG221",2,"SVC",6,1.7
"TAG223",2,"DSD",0,0
"TAG223",2,"rest",0,0
"TAG223",2,"SVC",0,0
"TAG224",2,"DSD",0,0
"TAG224",2,"rest",2,0.3
"TAG224",2,"SVC",9,2.5
"TAG225",2,"DSD",3,0.7
"TAG225",2,"rest",0,0
"TAG225",2,"SVC",4,1.1
"TAG232",2,"DSD",40,8.9
"TAG232",2,"rest",0,0
"TAG232",2,"SVC",8,2.2
"TAG238",2,"DSD",0,0
"TAG238",2,"rest",0,0
"TAG238",2,"SVC",4,1.1
"TAG243",2,"DSD",6,1.3
"TAG243",2,"rest",0,0
"TAG243",2,"SVC",1,0.3
"TAG244",2,"DSD",18,4
"TAG244",2,"rest",38,4.8
"TAG244",2,"SVC",30,8.3
"TAG247",2,"DSD",25,5.6
"TAG247",2,"rest",0,0
"TAG247",2,"SVC",8,2.2
"TAG250",2,"DSD",38,8.4
"TAG250",2,"rest",0,0
"TAG250",2,"SVC",10,2.8
"TAG252",2,"DSD",7,1.6
"TAG252",2,"rest",0,0
"TAG252",2,"SVC",13,3.6
"TAG253",2,"DSD",31,6.9
"TAG253",2,"rest",21,2.7
"TAG253",2,"SVC",54,15
"TAG261",2,"DSD",107,47.6
"TAG261",2,"rest",52,6.6
"TAG261",2,"SVC",52,14.4
"TAG266",2,"DSD",4,0.9
"TAG266",2,"rest",0,0
"TAG266",2,"SVC",0,0
