"subjectID","wave","task","nVols","percent"
"TAG071",1,"DSD",49,10.9
"TAG071",1,"rest",5,0.9
"TAG071",1,"SVC",27,7.5
"TAG072",1,"DSD",13,2.9
"TAG072",1,"rest",0,0
"TAG072",1,"SVC",1,0.3
"TAG074",1,"DSD",9,2
"TAG074",1,"rest",0,0
"TAG074",1,"SVC",0,0
"TAG075",1,"DSD",6,1.3
"TAG075",1,"rest",0,0
"TAG075",1,"SVC",2,0.6
"TAG076",1,"DSD",48,10.7
"TAG076",1,"rest",3,0.6
"TAG076",1,"SVC",18,5
"TAG077",1,"DSD",66,14.7
"TAG077",1,"rest",0,0
"TAG077",1,"SVC",41,11.4
"TAG078",1,"DSD",29,6.4
"TAG078",1,"rest",26,4.8
"TAG078",1,"SVC",45,12.5
"TAG080",1,"DSD",0,0
"TAG080",1,"rest",1,0.2
"TAG080",1,"SVC",5,1.4
"TAG081",1,"DSD",1,0.2
"TAG081",1,"rest",2,0.4
"TAG081",1,"SVC",2,0.6
"TAG083",1,"rest",77,9.7
"TAG083",1,"SVC",76,21.1
"TAG084",1,"DSD",67,14.9
"TAG084",1,"rest",10,1.9
"TAG084",1,"SVC",36,10
"TAG085",1,"DSD",0,0
"TAG085",1,"rest",0,0
"TAG085",1,"SVC",0,0
"TAG086",1,"DSD",24,5.3
"TAG086",1,"rest",2,0.4
"TAG086",1,"SVC",10,2.8
"TAG087",1,"DSD",1,0.2
"TAG087",1,"rest",0,0
"TAG087",1,"SVC",0,0
"TAG088",1,"DSD",22,4.9
"TAG088",1,"rest",2,0.4
"TAG088",1,"SVC",11,3.1
"TAG089",1,"DSD",75,16.7
"TAG089",1,"rest",9,1.7
"TAG089",1,"SVC",52,14.4
"TAG090",1,"DSD",5,1.1
"TAG090",1,"rest",0,0
"TAG090",1,"SVC",5,1.4
"TAG091",1,"DSD",1,0.2
"TAG091",1,"rest",0,0
"TAG091",1,"SVC",1,0.3
"TAG094",1,"DSD",6,1.3
"TAG094",1,"rest",0,0
"TAG094",1,"SVC",3,0.8
"TAG095",1,"DSD",20,4.4
