"subjectID","wave","task","run","nVols","percent"
"TAG037",2,"rest",1,0,0
"TAG037",2,"rest",2,3,0.8
"TAG037",2,"SVC",1,0,0
"TAG037",2,"SVC",2,0,0
"TAG038",2,"DSD",1,8,3.6
"TAG038",2,"DSD",2,6,2.7
"TAG038",2,"rest",1,0,0
"TAG038",2,"rest",2,1,0.3
"TAG038",2,"SVC",1,7,3.9
"TAG038",2,"SVC",2,6,3.3
"TAG040",2,"DSD",1,0,0
"TAG040",2,"DSD",2,0,0
"TAG040",2,"rest",1,0,0
"TAG040",2,"rest",2,0,0
"TAG040",2,"SVC",1,0,0
"TAG040",2,"SVC",2,1,0.6
"TAG041",2,"DSD",1,0,0
"TAG041",2,"DSD",2,0,0
"TAG041",2,"rest",1,0,0
"TAG041",2,"rest",2,0,0
"TAG041",2,"SVC",1,0,0
"TAG041",2,"SVC",2,0,0
"TAG042",2,"DSD",1,0,0
"TAG042",2,"DSD",2,0,0
"TAG042",2,"rest",1,0,0
"TAG042",2,"rest",2,0,0
"TAG042",2,"SVC",1,0,0
"TAG042",2,"SVC",2,0,0
"TAG045",2,"DSD",1,0,0
"TAG045",2,"DSD",2,9,4
"TAG045",2,"rest",1,0,0
"TAG045",2,"rest",2,0,0
"TAG045",2,"SVC",1,0,0
"TAG045",2,"SVC",2,1,0.6
"TAG046",2,"DSD",1,10,4.4
"TAG046",2,"DSD",2,52,23.1
"TAG046",2,"rest",1,0,0
"TAG046",2,"rest",2,3,0.8
"TAG046",2,"SVC",1,6,3.3
"TAG046",2,"SVC",2,13,7.2
"TAG047",2,"DSD",1,99,44
"TAG047",2,"DSD",2,54,24
"TAG047",2,"rest",1,12,3
"TAG047",2,"rest",2,18,4.6
"TAG047",2,"SVC",1,12,6.7
"TAG047",2,"SVC",2,36,20
"TAG048",2,"DSD",1,0,0
"TAG048",2,"DSD",2,0,0
"TAG048",2,"rest",1,0,0
"TAG048",2,"rest",2,0,0
"TAG048",2,"SVC",1,0,0
"TAG048",2,"SVC",2,2,1.1
"TAG049",2,"DSD",1,6,2.7
"TAG049",2,"DSD",2,5,2.2
"TAG049",2,"rest",1,0,0
"TAG049",2,"rest",2,0,0
"TAG049",2,"SVC",1,2,1.1
"TAG049",2,"SVC",2,0,0
"TAG050",2,"DSD",1,0,0
"TAG050",2,"DSD",2,3,1.3
"TAG050",2,"rest",1,0,0
"TAG050",2,"rest",2,0,0
"TAG050",2,"SVC",1,0,0
"TAG050",2,"SVC",2,0,0
"TAG051",2,"DSD",1,1,0.4
"TAG051",2,"DSD",2,0,0
"TAG051",2,"rest",1,0,0
"TAG051",2,"rest",2,0,0
"TAG051",2,"SVC",1,0,0
"TAG051",2,"SVC",2,1,0.6
"TAG052",2,"DSD",1,22,9.8
"TAG052",2,"DSD",2,28,12.4
"TAG052",2,"rest",1,0,0
"TAG052",2,"rest",2,2,0.5
"TAG052",2,"SVC",1,6,3.3
"TAG052",2,"SVC",2,17,9.4
"TAG053",2,"DSD",1,9,4
"TAG053",2,"DSD",2,20,8.9
"TAG053",2,"rest",1,0,0
"TAG053",2,"rest",2,0,0
"TAG053",2,"SVC",1,3,1.7
"TAG053",2,"SVC",2,0,0
"TAG056",2,"DSD",1,0,0
"TAG056",2,"DSD",2,0,0
"TAG056",2,"SVC",1,0,0
"TAG056",2,"SVC",2,0,0
"TAG057",2,"DSD",1,30,13.3
"TAG057",2,"DSD",2,30,13.3
"TAG057",2,"rest",1,2,0.5
"TAG057",2,"rest",2,11,2.8
"TAG057",2,"SVC",1,4,2.2
"TAG057",2,"SVC",2,8,4.4
"TAG058",2,"DSD",1,0,0
"TAG058",2,"DSD",2,0,0
"TAG058",2,"rest",1,0,0
"TAG058",2,"rest",2,0,0
"TAG058",2,"SVC",1,0,0
"TAG058",2,"SVC",2,0,0
"TAG059",2,"DSD",1,2,0.9
"TAG059",2,"DSD",2,3,1.3
"TAG059",2,"rest",1,0,0
"TAG059",2,"rest",2,0,0
"TAG059",2,"SVC",1,0,0
"TAG059",2,"SVC",2,0,0
"TAG062",2,"DSD",1,1,0.4
"TAG062",2,"DSD",2,0,0
"TAG062",2,"rest",1,0,0
"TAG062",2,"rest",2,0,0
"TAG062",2,"SVC",1,0,0
"TAG062",2,"SVC",2,3,1.7
"TAG064",2,"DSD",1,2,0.9
"TAG064",2,"DSD",2,40,17.8
"TAG064",2,"rest",1,0,0
"TAG064",2,"rest",2,0,0
"TAG064",2,"SVC",1,0,0
"TAG064",2,"SVC",2,0,0
"TAG065",2,"DSD",1,0,0
"TAG065",2,"DSD",2,2,0.9
"TAG065",2,"rest",1,0,0
"TAG065",2,"rest",2,0,0
"TAG065",2,"SVC",1,0,0
"TAG065",2,"SVC",2,0,0
"TAG066",2,"DSD",1,1,0.4
"TAG066",2,"DSD",2,0,0
"TAG066",2,"rest",1,0,0
"TAG066",2,"rest",2,0,0
"TAG066",2,"SVC",1,0,0
"TAG066",2,"SVC",2,0,0
"TAG067",2,"DSD",1,2,0.9
"TAG067",2,"DSD",2,1,0.4
"TAG067",2,"rest",1,0,0
"TAG067",2,"rest",2,0,0
"TAG067",2,"SVC",1,2,1.1
"TAG067",2,"SVC",2,0,0
"TAG068",2,"DSD",1,0,0
"TAG068",2,"DSD",2,2,0.9
"TAG068",2,"rest",1,0,0
"TAG068",2,"rest",2,2,0.5
"TAG068",2,"SVC",1,0,0
"TAG068",2,"SVC",2,7,3.9
"TAG069",2,"DSD",1,0,0
"TAG069",2,"DSD",2,0,0
"TAG069",2,"rest",1,0,0
"TAG069",2,"rest",2,0,0
"TAG069",2,"SVC",1,0,0
"TAG069",2,"SVC",2,0,0
"TAG070",2,"DSD",1,1,0.4
"TAG070",2,"DSD",2,6,2.7
"TAG070",2,"rest",1,0,0
"TAG070",2,"rest",2,1,0.3
"TAG070",2,"SVC",1,0,0
"TAG070",2,"SVC",2,0,0
"TAG071",2,"DSD",1,2,0.9
"TAG071",2,"DSD",2,5,2.2
"TAG071",2,"rest",1,0,0
