"","subs","hipp_SN_group","hipp_dmn_group","hipp_FPN_group","amy_SN_group","amy_dmn_group","amy_FPN_group"
"1","sub-TAG001",0.234572175005597,0.281924689504755,0.157876352853675,0.0432305466665423,0.110533262907403,0.14534724218613
"2","sub-TAG005",0.042396317411108,0.345726809607528,0.228942690951455,0.0184544884082323,0.164340677427222,0.0651924843910558
"3","sub-TAG007",-0.0144913921741509,0.187950164985388,0.0139326861936137,-0.131766999911903,0.00798565772870476,-0.0226951004553285
"4","sub-TAG010",0.0850209558217399,0.214861540644268,-0.00707643845455094,-0.114185370102287,0.0373167188239766,-0.0929107961014155
"5","sub-TAG014",0.144715198135699,0.407563909380669,0.282321328403647,0.0328424146424896,0.264508536214458,0.188065846726082
"6","sub-TAG015",0.0768458744012865,0.187804121927862,0.0308313789994327,-0.0351600142488351,0.145849263609645,0.000521093127939432
"7","sub-TAG016",0.129937367985281,0.266395226377196,0.167752148874442,0.0363792805352621,0.202050035534042,0.105236910556002
"8","sub-TAG018",0.0507531921000755,0.268918990136149,0.222674171832165,-0.0985016886912848,0.0524641335570988,0.0537600031776943
"9","sub-TAG020",-0.0364453904021091,0.164316058569819,0.0642288823819455,-0.131188624591265,0.01997845607735,-0.0300057473006016
"10","sub-TAG027",-0.0274355386112374,0.3279197917375,0.106546631280843,-0.188184204877907,0.104227379054984,-0.0638580879703501
"11","sub-TAG028",0.326009982495895,0.35334524569879,0.214242944030459,0.264037503548386,0.294182668201787,0.23239955740368
"12","sub-TAG035",0.0628940129935156,0.363380072097164,0.148229308650617,-0.0253470216092234,0.253314503071393,0.130654154572391
"13","sub-TAG036",-0.0931741105714583,0.184966599586203,-0.0328543772321177,-0.152593131103561,0.118725238599485,-0.0923523664312176
"14","sub-TAG037",-0.000584033150269929,0.171873980608686,0.0695317304795188,-0.0886416617592133,0.0518553824698895,0.0132874487764864
"15","sub-TAG038",0.132232687543592,0.0790604095925884,0.0379770554465193,-0.0189645793786467,0.0824807778330616,0.00163144218474941
"16","sub-TAG040",0.166386146321229,0.343483308483036,0.207704537704467,0.0297119461901395,0.127757016002423,0.0421805978837163
"17","sub-TAG041",-0.0725190061538373,0.299273050046389,-0.0338280314446216,-0.0969309300028074,0.259976419421601,-0.0689259760900919
"18","sub-TAG042",-0.242778852953316,0.310872974645161,0.254714766370511,-0.224516141312313,0.206510828352499,0.128111328302114
"19","sub-TAG045",0.00594329943704009,0.317898078820894,0.0793677342047952,-0.0509763668723479,0.0974801370195724,0.0634694631007691
"20","sub-TAG046",0.279989846835812,0.2640996130209,0.146105534596607,0.0075801088953538,0.024508851664282,0.021475126198493
"21","sub-TAG047",0.182433347472609,0.310537974569955,0.2132093440193,-0.00666159090423153,0.107927613095185,0.0901066260259452
"22","sub-TAG049",0.0912130587706373,0.303402096557801,0.152485107732244,0.113328336552065,0.139767429999721,0.0589415256744049
"23","sub-TAG050",0.0145478637095111,0.0848117364828889,-0.00890688344009502,-0.139516050091073,0.0334615811745762,-0.0859057382324925
"24","sub-TAG051",-0.00959126843440136,0.139058488507051,-0.0413427186241454,-0.191009184444032,0.114905993635326,-0.106313023638239
"25","sub-TAG052",0.0859822158411868,0.196248193136084,0.106577381515816,-0.143422856085,0.0207145253601742,-0.0623020202891955
"26","sub-TAG053",0.167897385303265,0.190055793521048,0.0816526201904147,0.0680478624626292,0.0140254925599565,-0.0135503272963806
"27","sub-TAG056",-0.106558781366528,0.0746296788011117,0.0426846167260004,-0.220892316173137,-0.0531926063837547,-0.042526993795809
"28","sub-TAG057",0.0485892407974548,0.1601848182069,-0.00729407939339509,-0.0815699049117455,-0.0459917896603814,-0.0765855107320813
"29","sub-TAG058",0.249883592615909,0.266804300029696,0.0885807184361394,-0.0423353544618781,0.151253569806728,0.136979489240808
"30","sub-TAG059",0.013165316992406,0.298662311474106,0.20746332159078,-0.254334394770354,0.183356600797776,0.0663196203463165
"31","sub-TAG062",0.13088890446269,0.245933177299452,0.119117801371712,-0.120337341424295,0.0849461570974936,-0.0177470468007842
"32","sub-TAG064",-0.109017661803535,0.162177157023035,0.100224583232324,-0.179294886048847,0.035223151658689,0.0650263023185259
"33","sub-TAG065",-0.00174568078962509,0.207249636341358,0.0731360833846327,-0.0226822330917699,0.0574927474752233,0.0646898267041356
"34","sub-TAG066",-0.0307445142647135,0.286348650844716,0.0450987418797541,-0.0571124703078479,0.142388959811499,-0.0540079009884764
"35","sub-TAG068",0.26350926705813,0.354724250648381,0.256166723029008,0.0625196628298912,0.190803739297261,0.121003396031008
"36","sub-TAG069",0.224999157796585,0.29577392827633,0.175103480561731,0.0208449649223741,0.0771490324690315,0.0466735112023933
"37","sub-TAG070",-0.0182162333828568,0.15995904772982,0.110368930194606,-0.0127940606707485,0.158406804024388,0.111452496548225
"38","sub-TAG071",0.00380836472143522,0.217362714394329,0.0599714218810827,-0.0284621614721386,0.105248797725121,0.0597760541805945
"39","sub-TAG075",0.157029439537119,0.240304060132364,0.0321884299545751,-0.0938282717025513,0.0593448764784738,-0.0619723728202121
"40","sub-TAG076",0.250382168111637,0.278295727190691,0.188430241405021,-0.0700554880360176,0.11807234936354,0.0174344360043033
"41","sub-TAG084",0.20038332673034,0.248288833423367,0.109982805531982,0.0367321367311669,0.155723416298232,0.0725125652716997
"42","sub-TAG088",0.362477747954847,0.402365872151383,0.3433251943745,-0.00498924406007828,0.0941148345272095,0.0893808057247558
"43","sub-TAG164",-0.0138165373583598,0.153147417128518,0.0990543862903033,-0.107262054694899,-0.0261635633860327,-0.0169590097799724
"44","sub-TAG090",-0.019505030166795,0.0692494112926592,0.0593987889448055,-0.134545232946313,-0.0268056752004612,-0.0347910172114059
"45","sub-TAG091",-0.218711443807909,0.147749043322552,0.00176633345271032,-0.277038821277024,0.0214159041300688,-0.0622941951220108
"46","sub-TAG094",0.0346211350550584,0.218242006557398,-0.0103868365227297,-0.0964557022184227,0.0163943458972742,-0.055708637906728
