"subjectID","wave","task","nVols","percent"
"TAG105",1,"SVC",25,6.9
"TAG106",1,"DSD",59,13.1
"TAG106",1,"SVC",20,5.6
"TAG107",1,"DSD",52,11.6
"TAG107",1,"SVC",2,0.6
"TAG109",1,"DSD",7,1.6
"TAG109",1,"SVC",12,3.3
"TAG110",1,"DSD",1,0.4
"TAG110",1,"SVC",0,0
"TAG111",1,"DSD",22,4.9
"TAG111",1,"SVC",3,0.8
"TAG112",1,"DSD",84,18.7
"TAG112",1,"SVC",45,12.5
"TAG113",1,"DSD",131,58.2
"TAG113",1,"SVC",123,34.2
"TAG114",1,"DSD",16,3.6
"TAG114",1,"SVC",22,6.4
"TAG116",1,"DSD",40,8.9
"TAG116",1,"SVC",3,0.8
"TAG119",1,"DSD",58,12.9
"TAG119",1,"SVC",26,7.2
"TAG120",1,"DSD",15,3.3
"TAG120",1,"SVC",6,1.7
"TAG122",1,"DSD",38,8.4
"TAG122",1,"SVC",33,9.2
"TAG124",1,"DSD",43,9.6
"TAG124",1,"SVC",22,6.1
"TAG125",1,"DSD",15,3.3
"TAG125",1,"SVC",17,4.7
"TAG127",1,"DSD",9,2
"TAG127",1,"SVC",14,3.9
"TAG130",1,"DSD",13,2.9
"TAG130",1,"SVC",11,3.1
"TAG131",1,"DSD",129,28.7
"TAG131",1,"SVC",29,8.1
"TAG132",1,"DSD",0,0
"TAG132",1,"SVC",3,0.8
"TAG137",1,"DSD",134,29.8
"TAG137",1,"SVC",32,8.9
"TAG138",1,"DSD",72,16
"TAG138",1,"SVC",19,5.3
"TAG140",1,"DSD",7,3.1
"TAG140",1,"SVC",0,0
"TAG141",1,"DSD",55,12.2
"TAG141",1,"SVC",8,2.2
"TAG143",1,"DSD",101,22.4
"TAG143",1,"SVC",21,5.8
"TAG144",1,"DSD",18,4
"TAG144",1,"SVC",2,0.6
"TAG145",1,"DSD",7,1.6
"TAG145",1,"SVC",2,0.6
"TAG147",1,"DSD",5,1.1
"TAG147",1,"SVC",6,1.7
"TAG149",1,"DSD",15,3.3
"TAG149",1,"SVC",16,4.4
"TAG152",1,"DSD",44,9.8
"TAG152",1,"SVC",14,3.9
"TAG155",1,"DSD",5,1.1
"TAG155",1,"SVC",11,3.1
"TAG159",1,"DSD",3,0.7
"TAG159",1,"SVC",6,1.7
"TAG160",1,"DSD",20,4.4
"TAG160",1,"SVC",9,2.5
"TAG164",1,"DSD",5,1.1
"TAG164",1,"SVC",1,0.3
"TAG165",1,"DSD",101,22.4
"TAG165",1,"SVC",31,8.6
"TAG166",1,"DSD",2,0.4
"TAG166",1,"SVC",8,2.2
"TAG167",1,"DSD",14,3.1
"TAG167",1,"SVC",0,0
"TAG169",1,"DSD",26,5.8
"TAG169",1,"SVC",8,2.2
"TAG173",1,"DSD",2,0.9
"TAG173",1,"SVC",6,1.7
"TAG174",1,"DSD",58,12.9
"TAG174",1,"SVC",12,3.3
"TAG175",1,"DSD",52,11.6
"TAG175",1,"SVC",5,1.4
"TAG176",1,"DSD",93,20.7
"TAG176",1,"SVC",6,1.7
"TAG177",1,"SVC",2,18.2
"TAG179",1,"DSD",4,0.9
"TAG179",1,"SVC",1,0.3
"TAG180",1,"DSD",1,0.2
"TAG180",1,"SVC",0,0
"TAG181",1,"DSD",14,3.1
"TAG181",1,"SVC",6,1.7
"TAG186",1,"DSD",90,20
"TAG186",1,"SVC",42,11.7
"TAG188",1,"DSD",13,5.8
"TAG188",1,"SVC",99,27.5
"TAG190",1,"DSD",178,39.6
"TAG190",1,"SVC",36,10
"TAG192",1,"DSD",179,39.8
"TAG192",1,"SVC",68,18.9
"TAG194",1,"DSD",19,4.2
"TAG194",1,"SVC",8,2.2
"TAG200",1,"DSD",31,6.9
"TAG200",1,"SVC",10,2.8
"TAG202",1,"DSD",15,3.4
"TAG202",1,"SVC",13,3.6
"TAG203",1,"DSD",17,3.8
"TAG203",1,"SVC",8,2.2
"TAG206",1,"DSD",51,11.3
"TAG206",1,"SVC",2,0.6
"TAG207",1,"DSD",12,2.7
"TAG207",1,"SVC",7,1.9
"TAG208",1,"DSD",4,0.9
"TAG208",1,"SVC",0,0
"TAG209",1,"DSD",1,0.2
"TAG209",1,"SVC",0,0
"TAG210",1,"DSD",6,1.7
"TAG210",1,"SVC",0,0
"TAG211",1,"DSD",21,4.7
"TAG211",1,"SVC",15,4.2
"TAG215",1,"DSD",19,4.2
"TAG215",1,"SVC",1,0.3
"TAG218",1,"DSD",1,0.2
"TAG218",1,"SVC",0,0
"TAG220",1,"DSD",6,1.3
"TAG220",1,"SVC",0,0
"TAG221",1,"DSD",43,9.6
"TAG221",1,"SVC",29,8.1
"TAG223",1,"DSD",0,0
"TAG223",1,"SVC",0,0
"TAG224",1,"DSD",5,1.1
"TAG224",1,"SVC",16,4.4
"TAG225",1,"DSD",61,13.6
"TAG225",1,"SVC",2,0.6
"TAG232",1,"DSD",33,7.3
"TAG232",1,"SVC",6,1.7
"TAG233",1,"SVC",146,40.6
"TAG238",1,"DSD",2,0.4
"TAG238",1,"SVC",0,0
"TAG240",1,"DSD",37,8.2
"TAG240",1,"SVC",7,1.9
"TAG243",1,"DSD",0,0
"TAG243",1,"SVC",0,0
"TAG244",1,"DSD",213,47.3
"TAG244",1,"SVC",37,10.3
"TAG247",1,"SVC",40,22.2
"TAG250",1,"DSD",13,2.9
"TAG250",1,"SVC",4,1.1
"TAG253",1,"DSD",49,10.9
"TAG253",1,"SVC",23,6.4
"TAG261",1,"SVC",118,32.8
"TAG266",1,"DSD",1,0.2
"TAG266",1,"SVC",0,0
NA,NA,NA,126,14
