id0,id1
113433,5139
114194,8341
80010,2894
80199,2637
80208,3016
80249,2648
80265,3145
80289,2794
80373,7390
80396,2798
80425,2726
80498,3013
80537,2823
80557,3476
80575,2725
80680,2739
80688,3844
80765,3369
80854,2675
80961,2632
81043,2750
81222,3184
81353,3141
81659,2818
81754,2740
81906,6584
83103,2795
83372,2796
83987,3113
84107,2859
84332,2951
84365,2922
84394,2896
85165,3034
85394,2909
85547,3234
85679,3407
85715,5624
85743,6467
85751,6291
85812,3183
85862,3153
85876,5423
85983,3345
86126,3231
86162,3528
86171,3014
86287,3568
86303,4534
86435,3090
86506,3284
86514,3152
86626,3512
86707,3326
86722,3705
86820,3429
86924,3232
87135,4634
87144,3190
87189,5502
87679,3508
87905,3291
88162,3023
88241,3296
88384,4966
88547,3293
88589,3466
88621,3230
88773,3543
88918,3541
89104,5927
89260,3367
89300,3450
89377,5692
89383,3498
89505,4933
89525,3516
89534,3595
89561,4249
89653,3428
89731,4814
89786,3374
89834,3353
90077,3465
90281,4754
90428,3645
90508,4071
91241,3596
91364,3493
91422,3372
91956,3567
92043,3581
93051,3918
93867,4371
93969,4541
94108,3759
94113,3792
94144,3755
94674,4271
94725,4139
94848,3638
95015,3709
95057,4119
95075,4072
95116,3998
95251,4038
95387,4094
95435,6101
95460,4278
95570,4812
95745,4332
95957,6115
96012,3934
96123,4127
96204,5023
96235,3898
96580,4685
96659,5512
97767,4400
97994,3846
